Name,Type,Tag,Rotation,StartAngle,SweepAngle,CenterX,CenterY,CenterZ
M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490,IfcFurnishingElement,162490,270,270,90,2.8265000000000366,-10.797200000000041,0
M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490,IfcFurnishingElement,162490,270,0,90,3.10570000000008,-10.797200000000057,0
M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490,IfcFurnishingElement,162490,270,90,90,3.10570000000006,-10.520800000000042,0
M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490,IfcFurnishingElement,162490,270,180,90,2.8265000000000304,-10.520800000000031,0
M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165,IfcFurnishingElement,161165,90,270,90,5.973499999999996,-7.00279999999998,0
M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165,IfcFurnishingElement,161165,90,0,90,5.694299999999952,-7.002799999999963,0
M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165,IfcFurnishingElement,161165,90,90,90,5.694299999999972,-7.27919999999998,0
M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165,IfcFurnishingElement,161165,90,180,90,5.973500000000002,-7.27919999999999,0
M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171853,IfcDoor,171853,180,180,90,2.634969165042814,1.3139489496438728e-13,0
M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146596,IfcDoor,146596,270,92.33515167,87.66484833,8.799999999999955,-16.803000000000022,0
M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171975,IfcDoor,171975,0,180,90,6.164999999999996,-17.80000000000012,0
M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146678,IfcDoor,146678,90,92.33515167,87.66484833,1.9484414082171497e-14,-0.9969999999999866,0
M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150257,IfcDoor,150257,90,180,86.17088318,2.5739999999999807,-7.748999999999982,0
M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150173,IfcDoor,150173,270,180,86.17088318,6.226000000000021,-10.053000000000024,0
M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150378,IfcDoor,150378,0,93.377388,86.622612,2.3473000000000193,-6.126000000000018,3.1000000000001955
M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150478,IfcDoor,150478,180,93.377388,86.622612,6.45729999999996,-11.673999999999985,3.1000000000001964
M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160065,IfcDoor,160065,270,93.377388,86.622612,2.505999999999982,-9.870051178510613,3.100000000000378
M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159734,IfcDoor,159734,0,180,86.622612,2.281999999999992,-11.67399999999998,3.100000000000378
M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160208,IfcDoor,160208,90,93.377388,86.622612,6.294000000000018,-7.945384235071505,3.100000000000378
M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159834,IfcDoor,159834,180,180,86.622612,6.478000000000009,-6.1260000000000225,3.100000000000378
M_Single-Flush:0762 x 2032mm:0762 x 2032mm:203720,IfcDoor,203720,180,93.82911682,86.17088318,2.525999999999973,-10.094051178510579,3.100000000000378
M_Single-Flush:0762 x 2032mm:0762 x 2032mm:204034,IfcDoor,204034,0,93.82911682,86.17088318,6.293375000000029,-7.721384235071538,3.100000000000378
M_Refrigerator:850 x 760mm:850 x 760mm:575374,IfcFlowTerminal,575374,0,338.003479,21.99651146,0.10929150986612596,-11.588103686058558,0
M_Range:760 x 650mm:760 x 650mm:575493,IfcFlowTerminal,575493,0,180,180,4.620999999999987,-10.852700000000022,0
M_Range:760 x 650mm:760 x 650mm:575493,IfcFlowTerminal,575493,0,0,180,4.620999999999987,-10.852700000000022,0
M_Range:760 x 650mm:760 x 650mm:575493,IfcFlowTerminal,575493,0,180,180,5.070999999999991,-10.85270000000002,0
M_Range:760 x 650mm:760 x 650mm:575493,IfcFlowTerminal,575493,0,0,180,5.070999999999991,-10.85270000000002,0
M_Range:760 x 650mm:760 x 650mm:575493,IfcFlowTerminal,575493,0,180,180,5.070999999999966,-10.58270000000001,0
